Batch Size,Concurrency,Num CPUs,Execution Time (s),Throughput (images/sec),CPU Before,CPU After
8,2,1,11.730506896972656,34.09912321037292,23.2,0.0
8,2,2,1.656212329864502,241.51492703397807,97.8,0.0
8,2,8,9.444528579711914,42.35256388119281,75.6,33.3
8,4,1,12.399196863174438,32.26015397723044,68.2,0.0
8,4,2,2.931137800216675,136.46577788680946,98.4,0.0
8,4,8,17.84738850593567,22.41224254556729,95.5,100.0
8,8,1,12.142767190933228,32.94142049422411,78.7,0.0
8,8,2,3.363852024078369,118.9112948895522,97.6,50.0
8,8,8,16.710756540298462,23.936678093262188,96.9,87.5
16,2,1,13.973502159118652,28.62560834393066,67.3,0.0
16,2,2,2.9773287773132324,134.34861579545256,98.9,0.0
16,2,8,16.212996244430542,24.671565574278553,93.1,0.0
16,4,1,14.219616413116455,28.130154033623025,68.8,50.0
16,4,2,2.4276769161224365,164.7665706023571,98.3,50.0
16,4,8,11.587653398513794,34.51949987141513,92.0,80.0
16,8,1,14.816975593566895,26.996062555010788,74.8,50.0
16,8,2,2.7865285873413086,143.54778264867875,99.1,0.0
16,8,8,18.224513292312622,21.948459944262332,93.6,66.7
32,2,1,14.006994009017944,28.557162210712242,77.2,50.0
32,2,2,2.7373101711273193,146.12885460300836,97.3,50.0
32,2,8,10.938548803329468,36.567922051803464,95.4,0.0
32,4,1,13.77152419090271,29.045441481650577,75.7,50.0
32,4,2,2.2971060276031494,174.13214505268994,98.2,50.0
32,4,8,17.10382866859436,23.386576640262447,91.1,66.7
32,8,1,14.116158246994019,28.33632161109971,72.6,66.7
32,8,2,2.339143753051758,171.00274383656028,96.5,0.0
32,8,8,17.7342312335968,22.555248926844698,92.1,80.0
