Job ID,Dataset,Preserve order,Parallelism,Num cpus,Batch size map_batches(),Concurrency,Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
95000000,2024-01-08_11h01m57s,False,-1,1,64,1,427328,1772,16,461.7104964256287,3.8379027847928295,461.0037920475006,3.843786169588423
96000000,2024-01-08_11h01m57s,False,-1,1,64,2,427328,1772,16,339.4392640590668,5.220374269052296,337.16682147979736,5.255558634811214
97000000,2024-01-08_11h01m57s,False,-1,1,64,3,427328,1772,16,384.1880557537079,4.61232454643509,383.06007266044617,4.625906291128244
09000000,2024-01-08_11h01m57s,False,10,1,32,2,426560,1772,10,274.8929235935211,6.446146291565593,273.78399538993835,6.4722556096685615
0a000000,2024-01-08_11h01m57s,False,10,1,32,3,426560,1772,10,244.70694732666016,7.241314639238873,242.45339798927307,7.308621016226793
0b000000,2024-01-08_11h01m57s,False,10,1,64,2,426560,1772,10,292.5247609615326,6.057606864374193,291.47724652290344,6.07937676487129
0c000000,2024-01-08_11h01m57s,False,10,1,64,3,426560,1772,10,264.61338806152344,6.696562154247481,263.33154702186584,6.729159571043955
0d000000,2024-01-08_11h01m57s,False,10,2,32,2,426560,1772,10,220.03935933113087,8.053104705387582,218.77123713493347,8.099785068670009
0e000000,2024-01-08_11h01m57s,False,10,2,32,3,426560,1772,10,212.6747131347656,8.33197315224371,211.50434470176697,8.37807848580425
0f000000,2024-01-08_11h01m57s,False,10,2,64,2,426560,1772,10,236.8069586753845,7.482888213724586,234.44450449943545,7.55829190274011
10000000,2024-01-08_11h01m57s,False,10,2,64,3,426560,1772,10,224.7677011489868,7.883694992393206,223.6018350124359,7.924800795581341
11000000,2024-01-08_11h01m57s,False,25,1,32,2,428480,1772,25,271.1286554336548,6.535642634917314,269.099502325058,6.584924850063519
12000000,2024-01-08_11h01m57s,False,25,1,32,3,428480,1772,25,230.2670660018921,7.695412247904525,229.10635471344,7.734399171146387
13000000,2024-01-08_11h01m57s,False,25,1,64,2,428480,1772,25,291.5247654914856,6.078385817453831,290.3002803325653,6.104024419025753
14000000,2024-01-08_11h01m57s,False,25,1,64,3,428480,1772,25,245.7222754955292,7.211393417330782,244.65447998046875,7.242867574472629
15000000,2024-01-08_11h01m57s,False,25,2,32,2,428480,1772,25,229.61912608146667,7.717127184654955,228.3102290630341,7.761369288060981
16000000,2024-01-08_11h01m57s,False,25,2,32,3,428480,1772,25,210.630220413208,8.412847864488505,209.41208934783936,8.46178463487205
17000000,2024-01-08_11h01m57s,False,25,2,64,2,428480,1772,25,233.7359454631805,7.5812044933377,232.70704913139343,7.614724206310893
18000000,2024-01-08_11h01m57s,False,25,2,64,3,428480,1772,25,217.6871259212494,8.140123089507092,216.60140180587769,8.180925816851824
19000000,2024-01-08_11h01m57s,False,50,1,32,2,431680,1772,50,274.527281999588,6.45473188345142,273.45110297203064,6.480134769034906
1a000000,2024-01-08_11h01m57s,False,50,1,32,3,431680,1772,50,231.5032110214233,7.654321476500034,230.2912740707397,7.694603311177503
1b000000,2024-01-08_11h01m57s,False,50,1,64,2,431680,1772,50,273.0651547908783,6.489293741477385,271.6925301551819,6.522078464902556
1c000000,2024-01-08_11h01m57s,False,50,1,64,3,431680,1772,50,233.7302706241608,7.581388560702877,232.3143670558929,7.627595410720644
1d000000,2024-01-08_11h01m57s,False,50,2,32,2,431680,1772,50,222.6661925315857,7.958100777910584,221.28635382652283,8.00772379027564
1e000000,2024-01-08_11h01m57s,False,50,2,32,3,431680,1772,50,214.19640851020813,8.272781099948043,212.84766030311584,8.325203093501235
1f000000,2024-01-08_11h01m57s,False,50,2,64,2,431680,1772,50,229.3504767417908,7.726166630100217,227.62379670143127,7.784774815632701
20000000,2024-01-08_11h01m57s,False,50,2,64,3,431680,1772,50,211.65462040901184,8.372130013394933,210.57668256759644,8.414986780082723
21000000,2024-01-08_11h01m57s,False,10,1,32,1,426560,1772,10,398.3718333244324,4.448105643445154,397.5145511627197,4.457698453596091
22000000,2024-01-08_11h01m57s,False,10,1,64,1,426560,1772,10,450.0298409461975,3.937516668393215,448.91863894462585,3.947263148097035
23000000,2024-01-08_11h01m57s,False,10,2,32,1,426560,1772,10,287.69976258277893,6.15919868717357,286.6129627227783,6.182553584339931
24000000,2024-01-08_11h01m57s,False,10,2,64,1,426560,1772,10,308.07986760139465,5.751755263322433,306.8786883354187,5.774268684514196
25000000,2024-01-08_11h01m57s,False,25,1,32,1,428480,1772,25,411.5550875663757,4.305620446774847,410.36490273475647,4.318108074523494
26000000,2024-01-08_11h01m57s,False,25,1,64,1,428480,1772,25,432.0165855884552,4.1016943772803,430.78796315193176,4.113392554041824
27000000,2024-01-08_11h01m57s,False,25,2,32,1,428480,1772,25,289.8396942615509,6.113724362408932,288.67206597328186,6.138453313885965
28000000,2024-01-08_11h01m57s,False,25,2,64,1,428480,1772,25,299.69030380249023,5.912770541845191,298.50511741638184,5.936246639042556
