Job ID,Dataset,Preserve order,Parallelism,Num cpus,Batch size map_batches(),Dataset size (bytes),Num records dataset,Num blocks dataset,Total time,Throughput (img/sec),Total time w/o metadata fetching,Throughput w/o metadata fetching (img/sec)
1000000,2024-01-03_11h10m14s,False,-1,1,default,884508404,1469,100,105.35332345962524,13.943556327987771,101.89502048492432,14.41679871115334
1000000,2024-01-03_11h10m14s,False,-1,1,,884508404,1469,100,106.3306872844696,13.815390810650374,103.07412314414978,14.25187966863026
1000000,2024-01-03_11h10m14s,False,-1,1,8,884508404,1469,100,103.61875939369202,14.17696958152761,100.85298919677734,14.56575567764074
1000000,2024-01-03_11h10m14s,False,-1,1,64,884508404,1469,25,59.14809203147888,24.835965955050444,56.2996780872345,26.09251153663495
1000000,2024-01-03_11h10m14s,False,-1,1,128,884508404,1469,13,32.785030126571655,44.807035233114,29.97832441329956,49.00207162173127
1000000,2024-01-03_11h10m14s,False,-1,1,256,884508404,1469,6,22.45893931388855,65.40825367881796,19.64032530784607,74.79509514097266
1000000,2024-01-03_11h10m14s,False,-1,1,512,884508404,1469,6,22.2011079788208,66.16786880192568,19.38831686973572,75.76727829804774
1000000,2024-01-03_11h10m14s,False,-1,2,default,884508404,1469,100,65.4863395690918,22.432159281862468,62.67830419540405,23.43713696242145
1000000,2024-01-03_11h10m14s,False,-1,2,,884508404,1469,100,67.8425133228302,21.65308931008686,64.87726712226868,22.642754005520924
1000000,2024-01-03_11h10m14s,False,-1,2,8,884508404,1469,100,66.65149402618408,22.040016078602864,63.86635184288025,23.001157223038764
1000000,2024-01-03_11h10m14s,False,-1,2,64,884508404,1469,25,63.83375072479248,23.01290435420792,61.04026961326599,24.06607980775923
1000000,2024-01-03_11h10m14s,False,-1,2,128,884508404,1469,13,40.422582149505615,36.34107278369317,37.6435136795044,39.02398730647241
1000000,2024-01-03_11h10m14s,False,-1,2,256,884508404,1469,6,30.134626388549805,48.7479081724462,27.294522523880005,53.82032232711785
1000000,2024-01-03_11h10m14s,False,-1,2,512,884508404,1469,6,24.556008338928223,59.82242633755826,21.66023969650269,67.82011744021412
1000000,2024-01-03_11h10m14s,False,-1,3,default,884508404,1469,100,63.9376277923584,22.97551615100068,61.14233064651489,24.02590781978529
1000000,2024-01-03_11h10m14s,False,-1,3,,884508404,1469,100,65.9812707901001,22.263893714220647,63.17538547515869,23.25272713338058
1000000,2024-01-03_11h10m14s,False,-1,3,8,884508404,1469,100,64.05443549156189,22.933618706131856,61.27174615859985,23.97516134430938
1000000,2024-01-03_11h10m14s,False,-1,3,64,884508404,1469,25,62.706724405288696,23.42651468294689,59.89206147193909,24.52745762789052
1000000,2024-01-03_11h10m14s,False,-1,3,128,884508404,1469,13,56.03453993797302,26.215973248394608,53.05563497543335,27.68791666861021
1000000,2024-01-03_11h10m14s,False,-1,3,256,884508404,1469,6,42.841357707977295,34.28929610525542,40.0549418926239,36.67462566636542
1000000,2024-01-03_11h10m14s,False,-1,3,512,884508404,1469,6,39.81340527534485,36.89712019960533,37.02866268157959,39.67197013384915
1000000,2024-01-03_11h10m14s,False,-1,4,default,884508404,1469,100,71.4863212108612,20.549385884146027,68.70017862319946,21.38276827571349
1000000,2024-01-03_11h10m14s,False,-1,4,,884508404,1469,100,73.08846354484558,20.098931195874048,70.2854483127594,20.900485595015013
1000000,2024-01-03_11h10m14s,False,-1,4,8,884508404,1469,100,72.24320149421692,20.33409330727949,69.41305804252625,21.163164992673423
1000000,2024-01-03_11h10m14s,False,-1,4,64,884508404,1469,25,69.56566524505615,21.1167390525946,66.74885535240173,22.00786803375712
1000000,2024-01-03_11h10m14s,False,-1,4,128,884508404,1469,13,70.62238931655884,20.80076890935157,67.85509872436523,21.649073210654915
1000000,2024-01-03_11h10m14s,False,-1,4,256,884508404,1469,6,56.6073579788208,25.95069002424764,53.52535915374756,27.4449349471978
1000000,2024-01-03_11h10m14s,False,-1,4,512,884508404,1469,6,54.04709243774414,27.180000509594745,51.22022724151611,28.680075804297
1000000,2024-01-03_11h10m14s,False,-1,10,default,884508404,1469,100,54.62656116485596,26.89167995705873,51.67722153663635,28.42645088723585
1000000,2024-01-03_11h10m14s,False,-1,10,,884508404,1469,100,56.674259662628174,25.92005627854156,53.870826721191406,27.26893365870944
1000000,2024-01-03_11h10m14s,False,-1,10,8,884508404,1469,100,54.09170842170715,27.157581870911777,51.234835386276245,28.67189850274187
1000000,2024-01-03_11h10m14s,False,-1,10,64,884508404,1469,25,53.05450391769409,27.68850694144512,50.23737955093384,29.241174860855047
1000000,2024-01-03_11h10m14s,False,-1,10,128,884508404,1469,13,52.84026336669922,27.80076983730152,50.04133701324463,29.35573043564352
1000000,2024-01-03_11h10m14s,False,-1,10,256,884508404,1469,6,52.6454668045044,27.903637087216616,49.84201669692993,29.4731252335238
1000000,2024-01-03_11h10m14s,False,-1,10,512,884508404,1469,6,54.35386919975281,27.02659482439717,51.57982730865479,28.48012637206931
1000000,2024-01-03_11h10m14s,False,-1,25,default,884508404,1469,100,50.31931734085083,29.193559802279328,47.489346742630005,30.933253471800555
1000000,2024-01-03_11h10m14s,False,-1,25,,884508404,1469,100,51.172022581100464,28.70709278047084,48.35601258277893,30.378848907057243
1000000,2024-01-03_11h10m14s,False,-1,25,8,884508404,1469,100,51.99201250076294,28.25434002921975,48.98877286911011,29.98646248855681
1000000,2024-01-03_11h10m14s,False,-1,25,64,884508404,1469,25,44.574013471603394,32.95642204029598,40.82813286781311,35.98009256891802
1000000,2024-01-03_11h10m14s,False,-1,25,128,884508404,1469,13,39.72602343559265,36.97827954971816,36.9227147102356,39.7858069626925
1000000,2024-01-03_11h10m14s,False,-1,25,256,884508404,1469,6,44.534215211868286,32.98587373800884,41.66634726524353,35.256270261669506
1000000,2024-01-03_11h10m14s,False,-1,25,512,884508404,1469,6,46.74751496315002,31.424130269982875,43.96395826339722,33.413733840772835
1000000,2024-01-03_11h10m14s,False,-1,50,default,884508404,1469,100,42.09403538703919,34.89805590015509,39.28520083427429,37.39321598983335
1000000,2024-01-03_11h10m14s,False,-1,50,,884508404,1469,100,42.2201669216156,34.793798961697405,39.44111943244934,37.245393161721765
1000000,2024-01-03_11h10m14s,False,-1,50,8,884508404,1469,100,44.44361281394959,33.05311847957875,41.62963652610779,35.28736070224214
1000000,2024-01-03_11h10m14s,False,-1,50,64,884508404,1469,25,40.38078284263611,36.37869047077894,37.57998847961426,39.08995344149394
1000000,2024-01-03_11h10m14s,False,-1,50,128,884508404,1469,13,39.46482944488525,37.223016560898536,36.47188377380371,40.2776014836701
1000000,2024-01-03_11h10m14s,False,-1,50,256,884508404,1469,6,38.12926769256592,38.52683486723276,35.30170011520386,41.61272673004567
1000000,2024-01-03_11h10m14s,False,-1,50,512,884508404,1469,6,39.59273552894592,37.10276595882157,36.59965324401856,40.13699228803697
1000000,2024-01-03_11h10m14s,False,1,1,default,884508404,1469,7,32.553032636642456,45.12636399800304,29.756611347198486,49.36718038421075
1000000,2024-01-03_11h10m14s,False,1,1,,884508404,1469,7,30.01145005226136,48.94798476721092,27.23337745666504,53.94116107477077
1000000,2024-01-03_11h10m14s,False,1,1,8,884508404,1469,7,29.02465057373047,50.6121510840705,26.2483458518982,55.96543143284463
1000000,2024-01-03_11h10m14s,False,1,1,64,884508404,1469,6,30.717829942703247,47.822388584742725,27.859808683395386,52.72828742989656
1000000,2024-01-03_11h10m14s,False,1,1,128,884508404,1469,6,30.807507514953613,47.68318239594567,27.828293561935425,52.788001417713694
1000000,2024-01-03_11h10m14s,False,1,1,256,884508404,1469,6,30.864219903945923,47.59556549855296,28.070449113845825,52.33261477371275
1000000,2024-01-03_11h10m14s,False,1,1,512,884508404,1469,6,32.197166204452515,45.62513330122989,29.43515992164612,49.90630266356128
1000000,2024-01-03_11h10m14s,False,1,2,default,884508404,1469,7,32.3331184387207,45.433291650606485,29.493221282958984,49.808055414034406
1000000,2024-01-03_11h10m14s,False,1,2,,884508404,1469,7,31.12805414199829,47.19215641616384,28.29410099983216,51.91894946613481
1000000,2024-01-03_11h10m14s,False,1,2,8,884508404,1469,7,29.321303844451904,50.10009131220678,26.53571105003357,55.35936072073492
1000000,2024-01-03_11h10m14s,False,1,2,64,884508404,1469,6,30.49226307868957,48.17615524990844,27.70960307121277,53.0141119749972
1000000,2024-01-03_11h10m14s,False,1,2,128,884508404,1469,6,30.23271894454956,48.5897415543181,27.426173210144043,53.561974860447
1000000,2024-01-03_11h10m14s,False,1,2,256,884508404,1469,6,30.270119667053223,48.52970573482395,27.267703771591187,53.87325652006222
1000000,2024-01-03_11h10m14s,False,1,2,512,884508404,1469,6,30.95456552505493,47.45665058070277,28.145177125930783,52.193666908799706
1000000,2024-01-03_11h10m14s,False,1,3,default,884508404,1469,7,32.87332248687744,44.68669087483943,30.040189743041992,48.90115583708171
1000000,2024-01-03_11h10m14s,False,1,3,,884508404,1469,7,34.70080852508545,42.33330756365662,31.93262004852295,46.00311523977028
1000000,2024-01-03_11h10m14s,False,1,3,8,884508404,1469,7,30.98772144317627,47.4058734100143,28.197178602218628,52.09741090494831
1000000,2024-01-03_11h10m14s,False,1,3,64,884508404,1469,6,30.741702556610107,47.78525188365452,27.937779903411865,52.58112867517438
1000000,2024-01-03_11h10m14s,False,1,3,128,884508404,1469,6,31.169044494628903,47.13009409875045,28.37756419181824,51.766247098245984
1000000,2024-01-03_11h10m14s,False,1,3,256,884508404,1469,6,30.69735622406006,47.85428390893881,27.88689637184143,52.67707027746949
1000000,2024-01-03_11h10m14s,False,1,3,512,884508404,1469,6,32.02960181236267,45.86382336582781,29.20912194252014,50.29250803535985
1000000,2024-01-03_11h10m14s,False,1,4,default,884508404,1469,7,34.5309956073761,42.54148987485927,31.595404148101807,46.4941037979492
1000000,2024-01-03_11h10m14s,False,1,4,,884508404,1469,7,41.264771461486816,35.599373217686306,38.47036123275757,38.185240609312096
1000000,2024-01-03_11h10m14s,False,1,4,8,884508404,1469,7,36.588155031204224,40.1496057603113,33.769022703170776,43.50140698214719
1000000,2024-01-03_11h10m14s,False,1,4,64,884508404,1469,6,34.39858150482178,42.70524933692643,31.58567261695861,46.50842860985273
1000000,2024-01-03_11h10m14s,False,1,4,128,884508404,1469,6,34.08554983139038,43.09744179767213,31.268274307250977,46.98052682937304
1000000,2024-01-03_11h10m14s,False,1,4,256,884508404,1469,6,33.141059160232544,44.32568050699839,30.338908672332764,48.41967177743735
1000000,2024-01-03_11h10m14s,False,1,4,512,884508404,1469,6,33.97050380706787,43.24339751753583,31.17662692070008,47.11863165109247
1000000,2024-01-03_11h10m14s,False,1,10,default,884508404,1469,7,34.79672408103943,42.21661776490193,31.927446365356445,46.01056981475254
1000000,2024-01-03_11h10m14s,False,1,10,,884508404,1469,7,39.37160062789917,37.31115770180422,36.42762303352356,40.32654007229928
1000000,2024-01-03_11h10m14s,False,1,10,8,884508404,1469,7,37.80102682113648,38.86137820940376,35.031065464019775,41.93420841021242
1000000,2024-01-03_11h10m14s,False,1,10,64,884508404,1469,6,32.773996353149414,44.82212007870797,29.970244884490967,49.01528184576762
1000000,2024-01-03_11h10m14s,False,1,10,128,884508404,1469,6,35.41248655319214,41.482543107879614,32.54262852668762,45.14079121774997
1000000,2024-01-03_11h10m14s,False,1,10,256,884508404,1469,6,33.6776762008667,43.6193991306976,30.843615531921387,47.62736062766923
1000000,2024-01-03_11h10m14s,False,1,10,512,884508404,1469,6,33.189708948135376,44.26070750712412,30.41721677780152,48.29501695474243
1000000,2024-01-03_11h10m14s,False,1,25,default,884508404,1469,7,35.01390337944031,41.9547624862236,32.20886015892029,45.60856834895346
1000000,2024-01-03_11h10m14s,False,1,25,,884508404,1469,7,40.57252860069275,36.20676479047248,37.5785973072052,39.09140056481935
1000000,2024-01-03_11h10m14s,False,1,25,8,884508404,1469,7,38.32799530029297,38.32707629216317,35.51563286781311,41.36206738783237
1000000,2024-01-03_11h10m14s,False,1,25,64,884508404,1469,6,33.55920481681824,43.773385216321,30.78675389289856,47.71532604932563
1000000,2024-01-03_11h10m14s,False,1,25,128,884508404,1469,6,32.842223167419434,44.72900608803171,30.06986713409424,48.85289294592186
1000000,2024-01-03_11h10m14s,False,1,25,256,884508404,1469,6,33.317326068878174,44.0911733721692,30.50767183303833,48.15182253301755
1000000,2024-01-03_11h10m14s,False,1,25,512,884508404,1469,6,34.06055498123169,43.12906823771544,31.24054598808289,47.02222555778536
1000000,2024-01-03_11h10m14s,False,1,50,default,884508404,1469,7,34.103384494781494,43.07490361329934,31.286617755889893,46.95298198935077
1000000,2024-01-03_11h10m14s,False,1,50,,884508404,1469,7,38.78066444396973,37.87970167768554,35.97487950325012,40.83404921112479
1000000,2024-01-03_11h10m14s,False,1,50,8,884508404,1469,7,36.5534098148346,40.187769279018966,33.645639419555664,43.66093274916872
1000000,2024-01-03_11h10m14s,False,1,50,64,884508404,1469,6,33.871366024017334,43.36996621153009,31.08888530731201,47.251613735230826
1000000,2024-01-03_11h10m14s,False,1,50,128,884508404,1469,6,32.823246002197266,44.75486671554854,29.86101794242859,49.19457209503711
1000000,2024-01-03_11h10m14s,False,1,50,256,884508404,1469,6,32.587188959121704,45.07906471597644,29.799272298812863,49.29650580959058
1000000,2024-01-03_11h10m14s,False,1,50,512,884508404,1469,6,33.058905601501465,44.43583274375789,30.204943418502808,48.63442316863029
1000000,2024-01-03_11h10m14s,False,25,1,default,884508404,1469,25,53.95685172080994,27.2254579937517,51.18962574005127,28.69722094589646
1000000,2024-01-03_11h10m14s,False,25,1,,884508404,1469,25,54.205811738967896,27.100415119214123,51.42030024528504,28.5684835170658
1000000,2024-01-03_11h10m14s,False,25,1,8,884508404,1469,25,53.90540337562561,27.25144249016486,51.0210816860199,28.792019915220955
1000000,2024-01-03_11h10m14s,False,25,1,64,884508404,1469,25,53.42627763748169,27.495832855280373,50.45187878608704,29.11685422516122
1000000,2024-01-03_11h10m14s,False,25,1,128,884508404,1469,13,33.21542191505432,44.22644408241585,30.409987449646,48.30649806851863
1000000,2024-01-03_11h10m14s,False,25,1,256,884508404,1469,7,24.22315263748169,60.64445953772934,21.41276478767395,68.6039385649823
1000000,2024-01-03_11h10m14s,False,25,1,512,884508404,1469,7,20.92147731781006,70.21492687562116,18.1039719581604,81.1424146808759
1000000,2024-01-03_11h10m14s,False,25,2,default,884508404,1469,25,63.142691135406494,23.26476704722324,60.35567784309387,24.339052306212952
1000000,2024-01-03_11h10m14s,False,25,2,,884508404,1469,25,66.40901684761047,22.120490104091303,63.600261926651,23.097389153745475
1000000,2024-01-03_11h10m14s,False,25,2,8,884508404,1469,25,65.42045903205872,22.4547491982612,62.66140675544739,23.44345708249352
1000000,2024-01-03_11h10m14s,False,25,2,64,884508404,1469,25,63.68501877784729,23.066649397157576,60.84734725952149,24.142383623307897
1000000,2024-01-03_11h10m14s,False,25,2,128,884508404,1469,13,40.5917763710022,36.18959630082656,37.82508206367493,38.83666392387671
1000000,2024-01-03_11h10m14s,False,25,2,256,884508404,1469,7,30.548014640808105,48.08823150286207,27.61250877380371,53.20052632789587
1000000,2024-01-03_11h10m14s,False,25,2,512,884508404,1469,7,25.010470151901245,58.73540125707432,22.08815860748291,66.50622290906314
1000000,2024-01-03_11h10m14s,False,25,3,default,884508404,1469,25,62.36878418922424,23.55344935926788,59.44172024726868,24.71328208351272
1000000,2024-01-03_11h10m14s,False,25,3,,884508404,1469,25,72.88311696052551,20.15555949391723,70.08416843414307,20.9605112370049
1000000,2024-01-03_11h10m14s,False,25,3,8,884508404,1469,25,70.75826954841614,20.76082427361852,67.95593309402466,21.61694988379416
1000000,2024-01-03_11h10m14s,False,25,3,64,884508404,1469,25,79.55858564376831,18.46438053307782,76.7482488155365,19.140501870351777
1000000,2024-01-03_11h10m14s,False,25,3,128,884508404,1469,13,102.47412490844728,14.335326125618916,99.68692111968994,14.73613572874051
1000000,2024-01-03_11h10m14s,False,25,3,256,884508404,1469,7,112.985426902771,13.001676767253713,110.18726110458374,13.331849664596938
1000000,2024-01-03_11h10m14s,False,25,3,512,884508404,1469,7,121.57198524475098,12.083375927789463,118.43465185165404,12.403464501588635
1000000,2024-01-03_11h10m14s,False,25,4,default,884508404,1469,25,70.34616708755493,20.882445495170177,67.59238958358765,21.73321595892644
1000000,2024-01-03_11h10m14s,False,25,4,,884508404,1469,25,73.65425658226013,19.94453638072309,70.89156222343445,20.72178908076589
1000000,2024-01-03_11h10m14s,False,25,4,8,884508404,1469,25,71.68295741081238,20.493016095600176,68.90757393836975,21.318411257866355
1000000,2024-01-03_11h10m14s,False,25,4,64,884508404,1469,25,70.89598155021667,20.720497380510707,67.89610624313354,21.635997721865863
1000000,2024-01-03_11h10m14s,False,25,4,128,884508404,1469,13,68.73421239852905,21.372180588650163,65.95116925239563,22.274055436047323
1000000,2024-01-03_11h10m14s,False,25,4,256,884508404,1469,7,58.712597370147705,25.02018418191988,55.89795112609863,26.28003299595228
1000000,2024-01-03_11h10m14s,False,25,4,512,884508404,1469,7,51.89207053184509,28.308756712617683,49.08964991569519,29.92484164223636
1000000,2024-01-03_11h10m14s,False,25,10,default,884508404,1469,25,53.49536204338074,27.460324482125216,50.69403290748596,28.977769487798504
1000000,2024-01-03_11h10m14s,False,25,10,,884508404,1469,25,58.208489179611206,25.23686872317156,55.36725544929504,26.53192736535948
1000000,2024-01-03_11h10m14s,False,25,10,8,884508404,1469,25,55.04775214195252,26.685921637851195,52.22775268554688,28.126808535005573
1000000,2024-01-03_11h10m14s,False,25,10,64,884508404,1469,25,93.21976947784424,15.758459908540544,90.41917276382446,16.246554299241808
1000000,2024-01-03_11h10m14s,False,25,10,128,884508404,1469,13,69.07512903213501,21.26669932555022,66.29663968086243,22.157985790402737
1000000,2024-01-03_11h10m14s,False,25,10,256,884508404,1469,7,52.29566025733948,28.09028498294621,49.52932906150818,29.65919441742724
1000000,2024-01-03_11h10m14s,False,25,10,512,884508404,1469,7,56.72517013549805,25.896793195878217,53.90155339241028,27.25338895718812
1000000,2024-01-03_11h10m14s,False,25,25,default,884508404,1469,25,40.94037747383118,35.88144737891035,38.13418292999268,38.52186901963556
1000000,2024-01-03_11h10m14s,False,25,25,,884508404,1469,25,51.27866244316101,28.647393087296084,48.47615027427673,30.303561476900253
1000000,2024-01-03_11h10m14s,False,25,25,8,884508404,1469,25,48.22813367843628,30.459399689704725,45.41858386993408,32.34358878750598
1000000,2024-01-03_11h10m14s,False,25,25,64,884508404,1469,25,47.30131959915161,31.056216030521647,44.528966426849365,32.989761898318974
1000000,2024-01-03_11h10m14s,False,25,25,128,884508404,1469,13,47.98582053184509,30.613209979917286,45.21070694923401,32.49230324244883
1000000,2024-01-03_11h10m14s,False,25,25,256,884508404,1469,7,45.56970739364624,32.236327244989546,42.62073516845703,34.466791672969194
1000000,2024-01-03_11h10m14s,False,25,25,512,884508404,1469,7,44.45828342437744,33.04221141373433,41.61993765830994,35.29558386319918
1000000,2024-01-03_11h10m14s,False,25,50,default,884508404,1469,25,37.30089068412781,39.382437605574005,34.51629304885864,42.55961084582852
1000000,2024-01-03_11h10m14s,False,25,50,,884508404,1469,25,41.17145323753357,35.6800618993162,38.30358529090881,38.351501271831616
1000000,2024-01-03_11h10m14s,False,25,50,8,884508404,1469,25,39.060964584350586,37.60787823935463,36.2612669467926,40.51154644308247
1000000,2024-01-03_11h10m14s,False,25,50,64,884508404,1469,25,37.72165894508362,38.9431441002798,34.89759683609009,42.09458911740314
1000000,2024-01-03_11h10m14s,False,25,50,128,884508404,1469,13,35.07687473297119,41.879443684279686,32.28450107574463,45.50170983139835
1000000,2024-01-03_11h10m14s,False,25,50,256,884508404,1469,7,34.07586431503296,43.10969155232649,31.13074278831482,47.1880806053687
1000000,2024-01-03_11h10m14s,False,25,50,512,884508404,1469,7,34.532241344451904,42.53995520728097,31.742568731307983,46.27854829376528
1000000,2024-01-03_11h10m14s,False,75,1,default,884508404,1469,75,106.4708559513092,13.797202876548647,103.6690444946289,14.170092983504915
1000000,2024-01-03_11h10m14s,False,75,1,,884508404,1469,75,103.97472071647644,14.128434198979424,100.89472937583923,14.55972982025535
1000000,2024-01-03_11h10m14s,False,75,1,8,884508404,1469,75,103.56479048728944,14.184357377522929,100.2042019367218,14.660063865661666
1000000,2024-01-03_11h10m14s,False,75,1,64,884508404,1469,25,54.66518187522888,26.87268110353926,51.86695146560669,28.32246658981112
1000000,2024-01-03_11h10m14s,False,75,1,128,884508404,1469,13,32.779502153396606,44.81459154338568,29.96487855911255,49.02405985400751
1000000,2024-01-03_11h10m14s,False,75,1,256,884508404,1469,6,22.910160541534424,64.12002208962315,20.07919859886169,73.1602903754973
1000000,2024-01-03_11h10m14s,False,75,1,512,884508404,1469,6,21.660722017288208,67.81860728499899,18.88146734237671,77.80115673017865
1000000,2024-01-03_11h10m14s,False,75,2,default,884508404,1469,75,66.4874484539032,22.094395771834755,63.60149455070496,23.096941516505883
1000000,2024-01-03_11h10m14s,False,75,2,,884508404,1469,75,69.74379110336304,21.06280683570648,66.92824125289917,21.94888095817648
1000000,2024-01-03_11h10m14s,False,75,2,8,884508404,1469,75,66.47007536888123,22.10017051805135,63.65268206596375,23.07836767157218
1000000,2024-01-03_11h10m14s,False,75,2,64,884508404,1469,25,63.86534881591797,23.0015184640135,60.90319561958313,24.120245006120008
1000000,2024-01-03_11h10m14s,False,75,2,128,884508404,1469,13,42.03120279312134,34.95022512751909,39.26789927482605,37.409691557952776
1000000,2024-01-03_11h10m14s,False,75,2,256,884508404,1469,6,29.260401725769043,50.20436881788542,26.471352338790894,55.49395365975844
1000000,2024-01-03_11h10m14s,False,75,2,512,884508404,1469,6,24.752378702163696,59.34783148221586,21.91227388381958,67.0400528849147
1000000,2024-01-03_11h10m14s,False,75,3,default,884508404,1469,75,65.01508736610413,22.59475545619076,62.180320262908936,23.62483811258641
1000000,2024-01-03_11h10m14s,False,75,3,,884508404,1469,75,70.61805510520935,20.802045564854915,67.81146574020386,21.663003209928608
1000000,2024-01-03_11h10m14s,False,75,3,8,884508404,1469,75,66.11503505706787,22.218849293992168,63.29084396362305,23.210308284786347
1000000,2024-01-03_11h10m14s,False,75,3,64,884508404,1469,25,63.22650766372681,23.233925995295305,60.31443214416504,24.35569643578439
1000000,2024-01-03_11h10m14s,False,75,3,128,884508404,1469,13,58.07801699638367,25.29356331314601,55.28348135948181,26.572132649313485
1000000,2024-01-03_11h10m14s,False,75,3,256,884508404,1469,6,42.752601861953735,34.36048184256332,39.97101593017578,36.75163029546594
1000000,2024-01-03_11h10m14s,False,75,3,512,884508404,1469,6,38.77147626876831,37.8886785175969,35.74634265899658,41.09511325434252
1000000,2024-01-03_11h10m14s,False,75,4,default,884508404,1469,75,74.02026867866516,19.845915533989537,71.2116150856018,20.62865725253036
1000000,2024-01-03_11h10m14s,False,75,4,,884508404,1469,75,76.20409369468689,19.277179594649805,73.3696539402008,20.021901714260416
1000000,2024-01-03_11h10m14s,False,75,4,8,884508404,1469,75,73.33402681350708,20.031628751762906,70.57427287101746,20.814950551240752
1000000,2024-01-03_11h10m14s,False,75,4,64,884508404,1469,25,70.10450077056885,20.95443208143796,67.16847586631775,21.870378641964148
1000000,2024-01-03_11h10m14s,False,75,4,128,884508404,1469,13,68.94445443153381,21.307007388952645,66.14594435691833,22.20846666083397
1000000,2024-01-03_11h10m14s,False,75,4,256,884508404,1469,6,57.557615756988525,25.522252453996707,54.76184320449829,26.82524754534435
1000000,2024-01-03_11h10m14s,False,75,4,512,884508404,1469,6,53.78007459640503,27.314949096374,50.98810410499573,28.81064173272664
1000000,2024-01-03_11h10m14s,False,75,10,default,884508404,1469,75,55.34193968772888,26.54406419957349,52.52725243568421,27.9664351718888
1000000,2024-01-03_11h10m14s,False,75,10,,884508404,1469,75,59.41626787185669,24.72386860730126,56.461774826049805,26.017602254370622
1000000,2024-01-03_11h10m14s,False,75,10,8,884508404,1469,75,57.28930020332336,25.641786420613023,54.48931288719177,26.95941501485335
1000000,2024-01-03_11h10m14s,False,75,10,64,884508404,1469,25,54.590898513793945,26.909247511813994,51.80344128608704,28.357189474872445
1000000,2024-01-03_11h10m14s,False,75,10,128,884508404,1469,13,53.7034285068512,27.35393327471808,50.8640923500061,28.880884964810026
1000000,2024-01-03_11h10m14s,False,75,10,256,884508404,1469,6,51.42834639549256,28.56401387482197,48.64677166938782,30.197276193034707
1000000,2024-01-03_11h10m14s,False,75,10,512,884508404,1469,6,56.36160469055176,26.06384271820169,53.59543895721436,27.40904876574877
1000000,2024-01-03_11h10m14s,False,75,25,default,884508404,1469,75,49.74107027053833,29.532939118724386,46.93657422065735,31.297554719140017
1000000,2024-01-03_11h10m14s,False,75,25,,884508404,1469,75,52.52315974235535,27.96861436375808,49.68756675720215,29.564740152768103
1000000,2024-01-03_11h10m14s,False,75,25,8,884508404,1469,75,51.498692989349365,28.524995776180365,48.62340474128723,30.21178808469245
1000000,2024-01-03_11h10m14s,False,75,25,64,884508404,1469,25,44.75724220275879,32.821503910923546,41.80268335342407,35.141284773042536
1000000,2024-01-03_11h10m14s,False,75,25,128,884508404,1469,13,49.58641004562378,29.62505248208921,46.770939350128174,31.408392057363592
1000000,2024-01-03_11h10m14s,False,75,25,256,884508404,1469,6,43.00923800468445,34.155452831784665,40.230262756347656,36.514800037397634
